url,name,UserCount,PullRequests,description,created_at
https://api.github.com/repos/twitter/twitter-cldr-rb,twitter-cldr-rb,226,79,"Ruby implementation of the ICU (International Components for Unicode) that uses the Common Locale Data Repository to format dates, plurals, and more.","2012-02-24 15:42:55"
https://api.github.com/repos/webdetails/cdf,cdf,17,58,"Community Dashboard Framework","2011-11-16 06:02:44"
https://api.github.com/repos/rails/activeresource,activeresource,28,63,,"2012-03-13 13:09:47"
https://api.github.com/repos/plataformatec/responders,responders,24,31,"A set of Rails 3 responders to dry up your application","2009-12-02 04:19:13"
https://api.github.com/repos/joyent/smartos-live,smartos-live,37,67,"For more information, please see http://smartos.org/  For any questions that aren't answered there, please join the SmartOS discussion list: http://smartos.org/smartos-mailing-list/","2011-08-13 16:08:28"
https://api.github.com/repos/ooyala/barkeep,barkeep,21,61,"The friendly code review system.","2011-09-01 09:30:15"
https://api.github.com/repos/JetBrains/la-clojure,la-clojure,13,23,"Clojure plugin for IntelliJ IDEA","2011-08-08 01:19:22"
https://api.github.com/repos/mozilla/bidpom,bidpom,50,41,"Page object model for BrowserID","2012-02-01 14:09:03"
https://api.github.com/repos/thoughtbot/trail-map,trail-map,45,99,"Trails to help designers and developers learn various topics.","2012-04-15 15:35:04"
https://api.github.com/repos/openwebos/luna-sysmgr,luna-sysmgr,11,21,"The repository for the System Manager for webOS.","2012-07-25 16:43:03"
https://api.github.com/repos/berk/tr8n,tr8n,10,22,"Crowd-Sourced Translation Platform and a Distributed Translation Memory for Ruby on Rails","2010-05-05 12:33:08"
https://api.github.com/repos/mochi/mochiweb,mochiweb,15,58,"MochiWeb is an Erlang library for building lightweight HTTP servers.","2010-05-22 08:48:06"
https://api.github.com/repos/RiotGames/nexus_cli,nexus_cli,12,70,"A CLI wrapper and library for interacting with Sonatype's Nexus","2012-06-13 17:06:30"
https://api.github.com/repos/acardona/CATMAID,CATMAID,11,68,"Collaborative Annotation Toolkit for Massive Amounts of Image Data","2011-01-27 06:29:03"
https://api.github.com/repos/Normation/rudder-doc,rudder-doc,11,31,,"2011-10-06 10:31:27"
https://api.github.com/repos/dotcloud/dotcloud-cli,dotcloud-cli,13,22,,"2011-08-31 09:05:45"
https://api.github.com/repos/jfirebaugh/konacha,konacha,19,63,"Test your Rails application's JavaScript with the mocha test framework and chai assertion library","2012-02-11 18:19:24"
https://api.github.com/repos/datamapper/do,do,11,26,DataObjects,"2009-01-26 00:15:26"
